commit	profile	wall_time_s	train_total_time_s	startup_overhead_s	train_iter_time_s	train_rays_per_sec	train_batch_load_s	train_feature_cache_load_s	train_feature_gather_s	train_feature_populate_s	train_model_forward_s	train_metrics_loss_s	train_image_viz_s	eval_batch_load_s	eval_feature_cache_load_s	eval_feature_gather_s	eval_feature_populate_s	eval_image_s	eval_all_images_s	peak_gpu_mem_mb	pixel_visit_x	pixel_visit_x_pct_diff	window_coverage_w	window_coverage_w_pct_diff	train_psnr	train_feature_error	train_foreground_acc	eval_all_psnr	eval_all_ssim	eval_all_lpips	max_quality_regression_pct	status	description	summary_path
0129d74	measure	164.30	150.05	14.26	0.02	571267.25	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.08	4.13	7621.29	0.15	0.00	2.38	0.00	31.27	0.09	0.97	24.97	0.91	0.28	9.82	keep	reuse feature mse in loss	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_002329_measure_0129d74/summary.json
770bc19	measure	10.79																														crash	try linear feature head	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_002711_measure_770bc19/summary.json
5685707	measure	162.14	148.42	13.72	0.02	584961.50	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.12	4.14	7621.14	0.15	0.00	2.38	0.00	31.54	0.09	0.97	24.89	0.91	0.28	12.85	keep	shrink feature head width	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_002828_measure_5685707/summary.json
2d3d3bc	measure	158.99	144.47	14.52	0.02	599076.69	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.09	4.12	7621.29	0.15	0.00	2.38	0.00	31.33	0.09	0.97	24.93	0.91	0.28	9.90	keep	fast-path scaler optimizer steps	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_004112_measure_2d3d3bc/summary.json
66f810b	measure	160.07	146.16	13.91	0.02	599564.88	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.12	4.15	7621.29	0.15	0.00	2.38	0.00	31.36	0.09	0.97	24.94	0.91	0.28	10.01	discard	keep gpu ray sampling indices on device	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_004632_measure_66f810b/summary.json
5e8bedf	measure	159.47	145.48	13.99	0.02	588722.50	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.13	4.20	7621.29	0.15	0.00	2.38	0.00	31.46	0.09	0.97	24.96	0.91	0.28	10.76	discard	reuse shared auxiliary encodings	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_005050_measure_5e8bedf/summary.json
1e7dfed	measure	24.21																														crash	share auxiliary mlp trunk	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_005345_measure_1e7dfed/summary.json
8f694ca	measure	161.65	147.52	14.13	0.02	592722.75	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.17	4.95	7685.31	0.15	0.00	2.38	0.00	31.51	0.09	0.97	24.76	0.91	0.28	21.48	discard	share auxiliary mlp trunk with dtype fix	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_005442_measure_8f694ca/summary.json
e10d6a3	measure	160.07	145.99	14.08	0.02	600788.12	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.16	4.82	7621.26	0.15	0.00	2.38	0.00	31.36	0.09	0.98	24.67	0.91	0.28	17.25	discard	use a joint auxiliary decoder	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_005921_measure_e10d6a3/summary.json
8f649f0	measure	159.97	145.93	14.05	0.02	602044.81	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.10	4.14	7621.27	0.15	0.00	2.38	0.00	31.27	0.09	0.97	24.81	0.91	0.28	10.38	discard	shrink foreground head width	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_010247_measure_8f649f0/summary.json
5d1e27d	measure	159.29	145.45	13.84	0.02	597129.69	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.13	4.13	7620.97	0.15	0.00	2.38	0.00	31.27	0.09	0.97	24.79	0.91	0.28	14.63	discard	shrink auxiliary head widths	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_010616_measure_5d1e27d/summary.json
a0d7e15	measure	159.13	145.54	13.58	0.02	588855.88	0.01	0.00	0.00	0.00	0.01	0.00		0.02	0.01	0.00	0.01	1.10	4.08	7600.33	0.15	0.00	2.38	0.00	31.34	0.09	0.97	24.91	0.91	0.28	10.24	discard	shrink feature hash levels	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_010955_measure_a0d7e15/summary.json
d74b058	measure	155.34	142.04	13.30	0.02	609167.25	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.11	3.99	7572.84	0.15	0.00	2.38	0.00	31.36	0.09	0.97	24.73	0.91	0.28	14.54	discard	shrink feature hash width	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_011310_measure_d74b058/summary.json
797cfcc	measure	158.32	144.46	13.85	0.02	622687.31	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.07	4.20	7633.29	0.15	0.00	2.38	0.00	31.45	0.09	0.97	24.87	0.91	0.28	10.36	keep	trim loop bookkeeping syncs	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_013022_measure_797cfcc/summary.json
a44498f	measure	157.27	143.62	13.65	0.02	583859.06	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.13	4.19	7633.29	0.15	0.00	2.38	0.00	31.35	0.09	0.97	24.84	0.91	0.28	10.77	discard	bypass generic sampled ray generation	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_013439_measure_a44498f/summary.json
fa5d6e9	measure	158.14	144.25	13.89	0.02	595364.06	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.07	4.12	7633.29	0.15	0.00	2.38	0.00	31.32	0.09	0.97	24.76	0.91	0.28	9.92	keep	flatten sampled ray coordinate lookup	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_013757_measure_fa5d6e9/summary.json
30e3c85	measure	123.60	109.59	14.01	0.01	923259.81	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.15	4.17	7831.23	0.15	0.00	2.38	0.00	31.49	0.09	0.97	24.60	0.91	0.28	10.84	keep	precompute perspective ray geometry on loop-trim base	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_014540_measure_30e3c85/summary.json
